tr,eu5,imm7,ref2,ref3,ref4,country,germany,name,male,age,edu,income,unemployed,lrscale
0,0.3,0.2,0.25,0.25,0.25,0,,Belgium,1,43,6,7,0,8
0,0.8,0.7,0.25,0.75,0.75,0,,Belgium,0,56,4,8,0,6
0,0.6,0.6,0.25,0.25,0.5,0,,Belgium,0,50,4,9,0,5
0,0.5,0.4,0.25,0.25,0,0,,Belgium,0,51,4,6,0,5
0,0.7,0.6,0.75,0.75,0.75,0,,Belgium,1,31,1,3,0,5
1,0.7,0.5,0.25,0.5,0.5,0,,Belgium,0,35,5,6,0,6
0,0.4,0.3,0.75,0.25,0.75,0,,Belgium,1,18,1,6,0,6
0,0.7,0.3,0.75,1,1,0,,Belgium,1,60,4,6,0,4
0,0.4,0.7,0.75,0.5,0.75,0,,Belgium,1,37,4,6,0,5
0,0.9,0.8,1,0.75,0.75,0,,Belgium,0,58,7,10,0,4
0,0.2,0.7,0.5,0.25,0.5,0,,Belgium,1,50,7,9,0,5
0,0.7,0.7,0.25,,0.25,0,,Belgium,1,31,5,7,0,2
0,0.6,0.3,0,0.5,0.25,0,,Belgium,0,31,6,7,0,3
0,0.4,,0.75,1,0,0,,Belgium,0,74,1,4,0,6
0,0,0.7,1,1,1,0,,Belgium,1,36,7,10,0,7
0,0.5,0.5,0.25,0.5,0.5,0,,Belgium,1,46,1,6,1,4
